country,Electiondate,ev_count,EventViolence,ActorNameNew,Actor1Name,Actor1Type,TargetNameNew,Target1Name,Target1Type
Iraq,2005-01-30T00:00:00Z,1,1,Al-Qaeda,car bomber,NA,Civilians,citizens,2
South Africa,2004-04-14T00:00:00Z,1,1,Party Members,IFP members,3,Party Supporters,ANC supporter,2
South Africa,1994-04-26T00:00:00Z,1,1,Party Supporters,NP supporters,2,Party Supporters,ANC supporter,2
Iraq,2005-01-30T00:00:00Z,1,1,Al-Qaeda,car bomber,NA,Military,guardsmen,1
South Africa,1994-04-26T00:00:00Z,4,1,Party Supporters,IFP supporters,2,Party Supporters,ANC supporters,2
South Africa,1999-06-02T00:00:00Z,4,0,Party Supporters,IFP supporters,2,Party Supporters,ANC supporters,2
South Africa,2004-04-14T00:00:00Z,4,1,Party Supporters,IFP supporters,2,Party Supporters,ANC supporters,2
South Africa,2004-04-14T00:00:00Z,4,0,Party Supporters,IFP supporters,2,Party Supporters,ANC supporters,2
South Africa,2009-04-22T00:00:00Z,4,1,Party Supporters,IFP supporters,2,Party Supporters,ANC supporters,2
Algeria,1999-04-15T00:00:00Z,0,0,Government ,Courts,1,Media,Newspapers,5
Iraq,2005-01-30T00:00:00Z,1,1,Al-Qaeda,Car bomber,NA,Military,Iraqi National Guard patrol,1
South Africa,1994-04-26T00:00:00Z,1,1,Party Supporters,NP supporters,2,Party Supporters,ANC supporters,2
Algeria,2002-05-30T00:00:00Z,7,0,Police,Police,1,Protestors,Protestors,2
South Africa,1999-06-02T00:00:00Z,1,1,Party Supporters,UDM supporters,2,Party Supporters,ANC supporters,2
South Africa,1999-06-02T00:00:00Z,1,1,Party Supporters,UDM Supporters,2,Party Supporters,ANC Supporters,2
South Africa,1999-06-02T00:00:00Z,1,1,Unknown,Unknown,2,Party Supporters,ANC Supporters,2
Iraq,2005-01-30T00:00:00Z,1,1,Al-Qaeda,car bomber,NA,Military,national guardsmen,1
Bangladesh,1991-02-27T00:00:00Z,1,1,Students,All Party Students Organization,2,Students,Isalmic students and fundamentalists,2
India,1998-02-16T00:00:00Z,0,0,Students,All-Assam Students' Union,2,Government,Indian government,1
Guyana,2001-03-19T00:00:00Z,1,1,Civilians,angry crowd,2,Government Officials,governing party legislator,1
Mexico,2006-07-02T00:00:00Z,0,0,Party Supporters,supporters of Lopez Obrador,2,Building,and the Attorney General's office,1
Algeria,2004-04-08T00:00:00Z,0,0,Government ,Courts,1,Political Party,Pro-Benflis FLN faction,3
Algeria,2004-04-08T00:00:00Z,2,1,Police,Riot police,1,Protestors,Protestors,2
Jamaica,1993-03-30T00:00:00Z,1,1,Civilians,Angry Crowd,2,Opposition Leaders,Opposition Party Leader Seaga,3
Uganda,2001-03-12T00:00:00Z,1,1,Rebel Group,Allied Democratic Forces rebels,4,Police,Police,1
Algeria,1991-12-26T00:00:00Z,0,0,Government ,Government,1,Political Party,FIS,3
Iraq,2005-12-15T00:00:00Z,1,1,Al-Qaeda,al-Qaida in Iraq,4,Civilians,civilians,2
Iraq,2005-12-15T00:00:00Z,1,0,Al-Qaeda,al-Qaida in Iraq,4,Civilians,civilians,2
Guyana,2001-03-19T00:00:00Z,1,1,Protestors,angry demonstrators,2,Election Officials,PNC electoral commission member,3
Nigeria,2007-04-21T00:00:00Z,1,1,Party Supporters,PDP supporters,2,Party Supporters,ANPP supporters,2
South Korea,2004-04-15T00:00:00Z,0,0,Protestors,angry demonstrators,2,Opposition Party,opposition-led parliament,1
Algeria,2007-05-17T00:00:00Z,0,0,Government ,Government,1,Media,Journalists,2
Algeria,1991-12-26T00:00:00Z,0,0,Police,Police,1,Political Party,Takfir wa al-Hihrah,3
Iraq,2005-01-30T00:00:00Z,1,1,Al-Qaeda,Al-Qaida in Iraq,4,Government Leader,Governor of Baghdad al-Haidari,1
Algeria,2002-05-30T00:00:00Z,0,0,Police,Police,1,Building,Tribal commitee headquarter,5
Algeria,2009-04-09T00:00:00Z,0,0,Police,Airport police,1,Media,Tunisian journalist,5
Algeria,1991-12-26T00:00:00Z,2,0,Police,Police,1,Unknown,Unknown,2
Kenya,2007-12-27T00:00:00Z,1,1,Civilians,Angry gang,2,Property,Diplomatic cargo,1
Georgia,2003-11-02T00:00:00Z,0,0,Party Supporters,Government supporters,2,Event,Anti-government protest,2
Georgia,2003-11-02T00:00:00Z,0,0,Party Supporters,Government supporters,2,Protestors,Anti-government protest,3
Algeria,1991-12-26T00:00:00Z,0,0,Police,Police,1,Civilians,Worshipers,2
Yemen,2012-02-21T00:00:00Z,1,1,Military,Army,1,Al-Qaeda,Al-Qaida,4
Iraq,2010-03-07T00:00:00Z,0,0,Former Government,Former PM,NA,Government Leader,Prime Minister,NA
Algeria,2004-04-08T00:00:00Z,1,1,Police,Police,1,Civilians,Youth,2
India,2009-04-16T00:00:00Z,1,1,Political Activists,pro-poll activists,3,Political Activists,anti-poll activists,3
Iraq,2005-12-15T00:00:00Z,19,1,United States,US troops,5,Al-Qaeda,al-Qaida in Iraq,4
Algeria,1997-06-05T00:00:00Z,4,1,Military,Security forces,1,Islamic Insurgents,Islamic fundamentalists,4
Afghanistan,2010-09-18T00:00:00Z,61,1,Iraqi Insurgents,Insurgents,4,United States,US-NATO Coalition Forces,5
Afghanistan,2004-09-10T00:00:00Z,61,1,Iraqi Insurgents,Insurgents,4,United States,US-NATO Coalition Forces,1
Afghanistan,2005-09-18T00:00:00Z,61,1,Iraqi Insurgents,Insurgents,4,United States,US-NATO Coalition Forces,1
Angola,1992-09-09T00:00:00Z,3,1,Police,Police,1,Opposition Leaders,Opposition leader,3
Angola,1992-09-09T00:00:00Z,33,1,Police,Police,1,Opposition Supporters,Opposition supporters,2
Serbia,2000-09-24T00:00:00Z,1,1,Civilians,angry mob,2,Civilians,corporation director,2
Serbia,2000-09-24T00:00:00Z,1,1,Civilians,angry mob,2,Government Leader,deputy prime minister,1
Afghanistan,2009-08-20T00:00:00Z,61,1,Iraqi Insurgents,Insurgents,4,United States,US-NATO Coalition Forces,1
Angola,2012-08-31T00:00:00Z,7,1,Police,Police,1,Protestors,Protestors,2
Angola,1992-09-09T00:00:00Z,4,1,Police,Police,1,Political Party,UNITA,4
Iraq,2005-01-30T00:00:00Z,1,1,Al-Qaeda,Al-Qaida in Iraq,4,Political Party,INA Party,3
Iraq,2005-01-30T00:00:00Z,2,1,Al-Qaeda,Al-Qaida in Iraq,4,Party Members,INA Party Official,3
South Korea,2004-04-15T00:00:00Z,0,0,Civilians,angry South Koreans,2,Opposition Party,opposition-led parliament,1
