country,year,elect_vio,ActorNameNew,ActorTypeNew,civ_deaths,l_gdppc,l_pop,indep_jud,opposition_ban,reports_fraud,elect_monitors,govt_intimidation,elect_boycott,cso_idx,elect_idx,corrupt_jud,peaceful_assemb,polity,phys_int,civ_violence,lag_ev,lag_civ_deaths,lag_civ_violence
Bolivia,2005,0,Civilians,2,NA,NA,NA,NA,0,NA,1,1.133,0.903,0.852,0.85,-1.341,1.25,8,6,NA,0,NA,NA
Bosnia and Herzegovina,1998,1,Civilians,2,NA,6.908153842044527,15.2301637297791,NA,NA,NA,NA,1.042,1.066,0.517,0.661,-0.503,1.082,NA,NA,NA,0,NA,NA
Bosnia and Herzegovina,1996,0,Civilians,2,NA,6.569416405149558,15.178472574659418,NA,NA,NA,NA,-0.305,1.069,0.527,0.189,-0.503,0.982,NA,NA,NA,1,NA,NA
Bosnia and Herzegovina,1996,1,Civilians,2,NA,6.569416405149558,15.178472574659418,NA,NA,NA,NA,-0.305,1.069,0.527,0.189,-0.503,0.982,NA,NA,NA,0,NA,NA
Bosnia and Herzegovina,1998,1,Civilians,2,NA,6.908153842044527,15.2301637297791,NA,NA,NA,NA,1.042,1.066,0.517,0.661,-0.503,1.082,NA,NA,NA,1,NA,NA
Bosnia and Herzegovina,1998,1,Civilians,2,NA,6.908153842044527,15.2301637297791,NA,NA,NA,NA,1.042,1.066,0.517,0.661,-0.503,1.082,NA,NA,NA,1,NA,NA
Bosnia and Herzegovina,1996,1,Civilians,2,NA,6.569416405149558,15.178472574659418,NA,NA,NA,NA,-0.305,1.069,0.527,0.189,-0.503,0.982,NA,NA,NA,1,NA,NA
Bosnia and Herzegovina,1996,1,Civilians,2,NA,6.569416405149558,15.178472574659418,NA,NA,NA,NA,-0.305,1.069,0.527,0.189,-0.503,0.982,NA,NA,NA,1,NA,NA
Bosnia and Herzegovina,1996,1,Civilians,2,NA,6.569416405149558,15.178472574659418,NA,NA,NA,NA,-0.305,1.069,0.527,0.189,-0.503,0.982,NA,NA,NA,1,NA,NA
South Africa,1994,1,Civilians,2,75,8.174125180390412,17.5829234737204,NA,0,NA,1,0.393,0.848,0.87,0.515,1.153,0.591,9,2,NA,0,NA,26
Uganda,2006,1,Civilians,2,49,5.848657297854823,17.174955894687777,NA,1,1,1,-1.842,-0.346,0.801,0.173,-1.038,-0.743,-1,1,146,1,49,146
Uganda,2006,1,Civilians,2,49,5.848657297854823,17.174955894687777,NA,1,1,1,-1.842,-0.346,0.801,0.173,-1.038,-0.743,-1,1,146,1,49,146
Sri Lanka,2000,0,Civilians,2,44,6.768144053034386,16.748175547580292,NA,0,0,1,-0.146,-0.217,0.712,0.607,0.64,1.175,5,0,NA,0,NA,40
Sri Lanka,2000,0,Civilians,2,44,6.768144053034386,16.748175547580292,NA,0,0,1,-0.146,-0.217,0.712,0.607,0.64,1.175,5,0,NA,0,44,NA
Sri Lanka,2010,0,Civilians,2,NA,7.970372411724096,16.824244837903137,NA,0,1,1,-1.183,-0.483,0.533,0.513,0.64,0.808,3,1,40,0,44,NA
Sri Lanka,2010,0,Civilians,2,NA,7.970372411724096,16.824244837903137,NA,0,1,1,-1.183,-0.483,0.533,0.513,0.64,0.808,3,1,40,0,NA,40
Sri Lanka,2010,0,Civilians,2,NA,7.970372411724096,16.824244837903137,NA,0,1,1,-1.183,-0.483,0.533,0.513,0.64,0.808,3,1,40,0,NA,40
Cambodia,1998,0,Civilians,2,NA,5.588782299055154,16.272452909446738,NA,0,1,1,-1.669,-0.618,0.486,0.358,-1.518,-0.328,2,0,NA,1,NA,NA
Indonesia,2009,0,Civilians,2,NA,7.713827163832054,19.300229890933714,6,0,1,1,1.178,0.925,0.851,0.798,-0.745,0.81,8,3,NA,1,902,NA
Indonesia,2009,0,Civilians,2,NA,7.713827163832054,19.300229890933714,6,0,NA,1,1.178,0.925,0.851,0.798,-0.745,0.81,8,3,NA,0,NA,NA
Peru,2000,0,Civilians,2,NA,7.571122536609415,17.09846626130958,NA,0,1,1,-1.354,-3.357,0.556,0.39,-1.143,1.431,NA,4,NA,0,NA,NA
Peru,2000,0,Civilians,2,NA,7.571122536609415,17.09846626130958,NA,0,1,1,-1.354,-3.357,0.556,0.39,-1.143,1.431,NA,4,NA,0,NA,NA
Peru,2000,0,Civilians,2,NA,7.571122536609415,17.09846626130958,NA,0,1,1,-1.354,-3.357,0.556,0.39,-1.143,1.431,NA,4,NA,0,NA,NA
Bangladesh,2001,0,Civilians,2,14,6.016275545139406,18.695813026182076,NA,0,0,1,0.461,-0.507,0.772,0.531,-1.406,1.646,6,4,NA,1,33,NA
Bangladesh,1996,0,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,1,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,0,70,NA
Bangladesh,1996,0,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,0,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,0,33,NA
Bangladesh,1996,0,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,1,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,0,33,NA
Bangladesh,1996,0,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,0,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,0,33,NA
Ukraine,2004,0,Civilians,2,NA,7.2560175673931075,17.67522135008325,NA,0,1,1,-1.103,0.7,0.506,0.286,-1.807,0.423,6,4,NA,0,NA,NA
Ukraine,2004,0,Civilians,2,NA,7.2560175673931075,17.67522135008325,NA,0,1,1,-1.103,0.7,0.506,0.286,-1.807,0.423,6,4,NA,0,NA,NA
Ukraine,2004,0,Civilians,2,NA,7.2560175673931075,17.67522135008325,NA,0,1,1,-1.103,0.7,0.506,0.286,-1.807,0.423,6,4,NA,0,NA,NA
